,name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations

0,EFHK,2022-06-10T00:00:00,15.0,15.0,12.0,82.26,0.0,0.0,,0,0,19.4,8.6,265.5,1012.0,25.0,10.0,0.0,,0,10,Partially cloudy,partly-cloudy-night,EFHK

1,EFHK,2022-06-10T01:00:00,15.0,15.0,11.0,76.99,0.0,0.0,,0,0,18.0,11.2,270.0,1013.0,28.3,10.0,0.0,,0,10,Partially cloudy,partly-cloudy-night,EFHK

2,EFHK,2022-06-10T02:00:00,13.0,13.0,11.0,87.65,0.0,0.0,,0,0,15.5,9.4,260.0,1013.0,4.0,10.0,0.0,,0,10,Clear,clear-night,EFHK

3,EFHK,2022-06-10T03:00:00,11.0,11.0,11.0,100.0,0.0,0.0,,0,0,11.5,4.3,284.9,1014.0,37.5,10.0,0.0,,0,10,Partially cloudy,partly-cloudy-night,EFHK

4,EFHK,2022-06-10T04:00:00,11.0,11.0,10.0,93.55,0.0,0.0,,0,0,8.3,9.4,250.0,1014.0,100.0,10.0,0.0,,0,10,Overcast,cloudy,EFHK

5,EFHK,2022-06-10T05:00:00,10.0,10.0,10.0,100.0,0.0,0.0,,0,0,6.8,3.6,260.0,1014.0,100.0,10.0,14.0,0.1,0,10,Overcast,cloudy,EFHK

6,EFHK,2022-06-10T06:00:00,12.0,12.0,11.0,93.6,0.0,0.0,,0,0,5.8,7.6,280.0,1014.0,100.0,10.0,62.0,0.2,1,10,Overcast,cloudy,EFHK

7,EFHK,2022-06-10T07:00:00,14.0,14.0,12.0,87.74,0.0,0.0,,0,0,6.8,5.4,280.0,1015.0,99.9,10.0,135.0,0.5,1,10,Overcast,cloudy,EFHK

8,EFHK,2022-06-10T08:00:00,15.0,15.0,12.0,82.26,0.0,0.0,,0,0,11.9,3.6,302.5,1015.0,100.0,10.0,219.0,0.8,2,10,Overcast,cloudy,EFHK

9,EFHK,2022-06-10T09:00:00,17.0,17.0,11.0,67.76,0.0,0.0,,0,0,12.2,4.3,302.9,1015.0,100.0,10.0,309.0,1.1,3,10,Overcast,cloudy,EFHK

10,EFHK,2022-06-10T10:00:00,16.7,16.7,11.6,71.86,0.0,4.8,,0,0,11.9,3.2,292.9,1016.0,100.0,24.1,406.0,1.5,4,10,Overcast,cloudy,

11,EFHK,2022-06-10T11:00:00,17.9,17.9,11.6,66.61,0.0,4.8,,0,0,11.2,4.0,289.7,1015.0,100.0,24.1,489.0,1.8,5,10,Overcast,cloudy,

12,EFHK,2022-06-10T12:00:00,19.1,19.1,11.7,62.2,0.0,4.8,,0,0,14.4,5.4,274.0,1016.0,100.0,24.1,565.0,2.0,6,10,Overcast,cloudy,

13,EFHK,2022-06-10T13:00:00,20.1,20.1,11.3,56.92,0.0,4.8,,0,0,17.6,7.2,288.3,1016.0,100.0,24.1,613.0,2.2,6,10,Overcast,cloudy,

14,EFHK,2022-06-10T14:00:00,20.8,20.8,10.5,51.69,0.0,4.8,,0,0,19.1,7.6,299.1,1016.0,100.0,24.1,621.0,2.2,6,10,Overcast,cloudy,

15,EFHK,2022-06-10T15:00:00,21.1,21.1,10.4,50.41,0.0,4.8,,0,0,18.7,5.0,292.0,1016.0,100.0,24.1,463.0,1.7,5,10,Overcast,cloudy,

16,EFHK,2022-06-10T16:00:00,21.3,21.3,10.1,48.81,0.0,52.4,rain,0,0,13.0,4.3,291.3,1015.0,100.0,24.1,282.0,1.0,3,10,"Rain, Overcast",rain,

17,EFHK,2022-06-10T17:00:00,21.2,21.2,10.3,49.77,0.0,52.4,rain,0,0,11.2,2.9,197.3,1015.0,100.0,24.1,127.0,0.5,1,10,"Rain, Overcast",rain,

18,EFHK,2022-06-10T18:00:00,20.1,20.1,11.7,58.45,0.0,52.4,rain,0,0,20.2,8.6,193.8,1015.0,95.7,24.1,162.0,0.6,2,10,"Rain, Overcast",rain,

19,EFHK,2022-06-10T19:00:00,19.6,19.6,12.6,63.97,0.0,52.4,rain,0,0,20.2,7.2,209.2,1015.0,100.0,24.1,172.0,0.6,2,10,"Rain, Overcast",rain,

20,EFHK,2022-06-10T20:00:00,19.3,19.3,12.4,64.32,0.0,52.4,rain,0,0,16.2,6.8,223.2,1015.0,100.0,24.1,109.0,0.4,1,10,"Rain, Overcast",rain,

21,EFHK,2022-06-10T21:00:00,18.5,18.5,13.5,72.66,0.0,52.4,rain,0,0,15.1,5.0,244.5,1016.0,93.5,24.1,64.0,0.2,1,10,"Rain, Overcast",rain,

22,EFHK,2022-06-10T22:00:00,17.9,17.9,13.9,77.44,0.0,0.0,,0,0,10.8,2.9,256.0,1015.0,94.1,24.1,40.0,0.1,0,10,Overcast,cloudy,

23,EFHK,2022-06-10T23:00:00,17.2,17.2,13.7,79.89,0.0,0.0,,0,0,6.1,2.5,244.2,1016.0,91.9,24.1,3.0,0.0,0,10,Overcast,cloudy,

24,EFHK,2022-06-11T00:00:00,16.5,16.5,13.5,82.44,0.0,0.0,,0,0,4.7,2.9,220.1,1016.0,75.3,24.1,0.0,,0,10,Partially cloudy,partly-cloudy-night,

25,EFHK,2022-06-11T01:00:00,15.5,15.5,13.4,87.31,0.0,0.0,,0,0,7.6,3.6,215.1,1016.0,78.2,24.1,0.0,,0,10,Partially cloudy,partly-cloudy-night,

26,EFHK,2022-06-11T02:00:00,15.1,15.1,13.1,87.84,0.0,0.0,,0,0,7.2,3.2,220.1,1016.0,77.7,24.1,0.0,,0,10,Partially cloudy,partly-cloudy-night,

27,EFHK,2022-06-11T03:00:00,14.6,14.6,12.8,88.96,0.0,0.0,,0,0,5.8,2.5,259.1,1016.0,77.1,24.1,0.0,,0,10,Partially cloudy,partly-cloudy-night,

28,EFHK,2022-06-11T04:00:00,14.1,14.1,12.7,91.28,0.0,0.0,,0,0,6.1,3.2,248.6,1016.0,86.4,24.1,0.0,,0,10,Partially cloudy,partly-cloudy-day,

29,EFHK,2022-06-11T05:00:00,14.1,14.1,12.6,90.68,0.0,0.0,,0,0,6.1,2.9,248.6,1016.0,84.7,24.1,10.0,0.0,0,10,Partially cloudy,partly-cloudy-day,

30,EFHK,2022-06-11T06:00:00,14.5,14.5,12.7,88.95,0.0,0.0,,0,0,6.1,2.9,247.2,1016.0,51.1,24.1,76.0,0.3,1,10,Partially cloudy,partly-cloudy-day,

31,EFHK,2022-06-11T07:00:00,15.8,15.8,12.7,81.82,0.0,0.0,,0,0,8.6,3.6,248.6,1016.0,53.0,24.1,66.0,0.2,1,10,Partially cloudy,partly-cloudy-day,

32,EFHK,2022-06-11T08:00:00,17.0,17.0,12.2,73.35,0.0,0.0,,0,0,11.2,4.3,245.0,1017.0,59.1,24.1,164.0,0.6,2,10,Partially cloudy,partly-cloudy-day,

33,EFHK,2022-06-11T09:00:00,18.3,18.3,11.7,65.39,0.0,0.0,,0,0,13.3,5.4,228.0,1017.0,38.0,24.1,225.0,0.8,2,10,Partially cloudy,partly-cloudy-day,

34,EFHK,2022-06-11T10:00:00,19.6,19.6,10.8,56.8,0.0,9.5,,0,0,18.0,7.6,217.9,1017.0,50.0,24.1,275.0,1.0,3,10,Partially cloudy,partly-cloudy-day,

35,EFHK,2022-06-11T11:00:00,20.4,20.4,11.1,55.14,0.0,9.5,,0,0,24.1,10.1,206.1,1017.0,43.5,24.1,498.0,1.8,5,10,Partially cloudy,partly-cloudy-day,

36,EFHK,2022-06-11T12:00:00,20.8,20.8,12.1,57.47,0.0,9.5,rain,0,0,29.5,12.6,206.2,1017.0,51.5,15.3,646.0,2.3,6,10,Partially cloudy,partly-cloudy-day,

37,EFHK,2022-06-11T13:00:00,21.0,21.0,12.7,59.05,0.0,9.5,rain,0,0,32.4,14.4,208.1,1017.0,50.6,14.1,712.0,2.6,7,10,Partially cloudy,partly-cloudy-day,

38,EFHK,2022-06-11T14:00:00,21.1,21.1,13.0,59.86,0.0,9.5,,0,0,34.9,15.5,210.0,1017.0,52.3,23.0,765.0,2.8,8,10,Partially cloudy,partly-cloudy-day,

39,EFHK,2022-06-11T15:00:00,21.4,21.4,12.6,57.25,0.0,9.5,,0,0,35.3,15.8,213.4,1016.0,47.7,24.1,696.0,2.5,7,10,Partially cloudy,partly-cloudy-day,

40,EFHK,2022-06-11T16:00:00,21.4,21.4,12.8,58.0,0.0,0.0,,0,0,36.4,15.8,219.3,1016.0,48.9,24.1,711.0,2.6,7,10,Partially cloudy,partly-cloudy-day,

41,EFHK,2022-06-11T17:00:00,21.5,21.5,13.1,58.79,0.0,0.0,,0,0,35.3,15.1,220.7,1016.0,53.3,24.1,628.0,2.3,6,10,Partially cloudy,partly-cloudy-day,

42,EFHK,2022-06-11T18:00:00,20.9,20.9,13.6,63.01,0.0,0.0,,0,0,34.2,15.1,222.3,1015.0,48.6,24.1,520.0,1.9,5,10,Partially cloudy,partly-cloudy-day,

43,EFHK,2022-06-11T19:00:00,20.2,20.2,13.7,66.22,0.0,0.0,,0,0,33.5,13.3,226.8,1015.0,62.8,24.1,398.0,1.4,4,10,Partially cloudy,partly-cloudy-day,

44,EFHK,2022-06-11T20:00:00,19.3,19.3,13.3,68.23,0.0,0.0,rain,0,0,29.5,11.9,219.4,1015.0,63.9,24.1,271.0,1.0,3,10,Partially cloudy,partly-cloudy-day,

45,EFHK,2022-06-11T21:00:00,17.6,17.6,13.1,74.91,0.0,0.0,,0,0,26.3,11.5,211.1,1015.0,85.5,24.1,154.0,0.6,2,10,Partially cloudy,partly-cloudy-day,

46,EFHK,2022-06-11T22:00:00,16.1,16.1,11.2,72.71,0.0,0.0,,0,0,24.8,11.2,207.0,1016.0,57.4,24.1,58.0,0.2,1,10,Partially cloudy,partly-cloudy-day,

47,EFHK,2022-06-11T23:00:00,14.2,14.2,9.9,75.34,0.0,0.0,,0,0,23.4,9.0,210.3,1016.0,22.7,24.1,6.0,0.0,0,10,Partially cloudy,partly-cloudy-night,

48,EFHK,2022-06-12T00:00:00,12.9,12.9,9.7,80.9,0.0,0.0,,0,0,18.4,8.6,214.8,1015.0,45.2,24.1,0.0,,0,10,Partially cloudy,partly-cloudy-night,

49,EFHK,2022-06-12T01:00:00,12.1,12.1,9.6,84.69,0.0,0.0,,0,0,18.0,7.9,218.9,1015.0,0.0,24.1,0.0,,0,10,Clear,clear-night,

50,EFHK,2022-06-12T02:00:00,11.6,11.6,9.6,87.53,0.0,0.0,,0,0,16.6,7.6,213.7,1015.0,2.5,24.1,0.0,,0,10,Clear,clear-night,

51,EFHK,2022-06-12T03:00:00,11.5,11.5,9.9,89.9,0.0,0.0,,0,0,15.8,7.6,205.1,1015.0,56.5,24.1,0.0,,0,10,Partially cloudy,partly-cloudy-night,

52,EFHK,2022-06-12T04:00:00,11.7,11.7,10.1,89.91,0.0,0.0,,0,0,16.9,8.3,202.2,1014.0,63.2,24.1,0.0,,0,10,Partially cloudy,partly-cloudy-day,

53,EFHK,2022-06-12T05:00:00,12.0,12.0,10.4,89.94,0.0,0.0,,0,0,18.4,9.0,212.2,1014.0,71.8,24.1,15.0,0.1,0,10,Partially cloudy,partly-cloudy-day,

54,EFHK,2022-06-12T06:00:00,12.6,12.6,10.8,88.79,0.0,0.0,,0,0,21.2,10.1,213.8,1014.0,88.7,24.1,58.0,0.2,1,10,Partially cloudy,partly-cloudy-day,

55,EFHK,2022-06-12T07:00:00,13.3,13.3,11.4,88.26,0.0,0.0,,0,0,24.1,11.2,209.9,1014.0,100.0,24.1,148.0,0.5,1,3,Overcast,cloudy,

56,EFHK,2022-06-12T08:00:00,14.2,14.2,11.7,84.92,0.0,0.0,,0,0,32.0,11.5,225.0,1013.0,100.0,24.1,316.0,1.1,3,10,Overcast,cloudy,

57,EFHK,2022-06-12T09:00:00,15.6,15.6,11.7,77.6,0.0,0.0,,0,0,25.2,10.1,225.1,1013.0,100.0,24.1,395.0,1.4,4,10,Overcast,cloudy,

58,EFHK,2022-06-12T10:00:00,16.9,16.9,11.8,71.9,0.0,38.1,,0,0,23.0,9.7,212.8,1013.0,100.0,24.1,559.0,2.0,6,10,Overcast,cloudy,

59,EFHK,2022-06-12T11:00:00,18.1,18.1,11.6,65.78,0.0,38.1,rain,0,0,27.4,11.9,205.3,1013.0,100.0,10.6,606.0,2.2,6,10,Overcast,cloudy,

60,EFHK,2022-06-12T12:00:00,18.6,18.6,11.4,62.91,0.0,38.1,rain,0,0,32.8,14.4,206.7,1013.0,100.0,8.5,664.0,2.4,7,10,Overcast,cloudy,

61,EFHK,2022-06-12T13:00:00,19.6,19.6,10.3,54.94,0.0,38.1,,0,0,37.8,16.9,210.1,1012.0,69.9,23.9,757.0,2.7,8,10,Partially cloudy,partly-cloudy-day,

62,EFHK,2022-06-12T14:00:00,19.7,19.7,10.0,53.51,0.0,38.1,,0,0,39.2,17.6,220.5,1012.0,100.0,24.1,650.0,2.3,7,10,Overcast,cloudy,

63,EFHK,2022-06-12T15:00:00,19.4,19.4,9.1,51.32,0.0,38.1,,0,0,41.4,19.1,229.6,1012.0,100.0,24.1,553.0,2.0,6,10,Overcast,cloudy,

64,EFHK,2022-06-12T16:00:00,19.5,19.5,8.1,47.67,0.0,4.8,,0,0,42.1,19.1,232.4,1011.0,16.2,24.1,561.0,2.0,6,10,Clear,clear-day,

65,EFHK,2022-06-12T17:00:00,19.1,19.1,9.4,53.36,0.0,4.8,,0,0,43.6,19.4,233.0,1011.0,73.8,24.1,557.0,2.0,6,10,Partially cloudy,partly-cloudy-day,

66,EFHK,2022-06-12T18:00:00,18.0,18.0,10.4,61.12,0.0,4.8,,0,0,41.8,17.6,230.1,1011.0,23.7,24.1,462.0,1.7,5,10,Partially cloudy,partly-cloudy-day,

67,EFHK,2022-06-12T19:00:00,17.2,17.2,10.6,65.15,0.0,4.8,,0,0,38.2,17.6,233.2,1010.0,38.5,24.1,414.0,1.5,4,10,Partially cloudy,partly-cloudy-day,

68,EFHK,2022-06-12T20:00:00,16.3,16.3,10.1,66.72,0.0,4.8,,0,0,38.9,16.6,239.7,1010.0,44.9,24.1,284.0,1.0,3,10,Partially cloudy,partly-cloudy-day,

69,EFHK,2022-06-12T21:00:00,15.3,15.3,10.2,71.6,0.0,4.8,,0,0,35.6,14.0,230.9,1010.0,23.6,24.1,160.0,0.6,2,10,Partially cloudy,partly-cloudy-day,

70,EFHK,2022-06-12T22:00:00,13.5,13.5,10.3,80.98,0.0,0.0,,0,0,30.6,13.0,225.3,1010.0,19.9,24.1,60.0,0.2,1,10,Clear,clear-day,

71,EFHK,2022-06-12T23:00:00,12.4,12.4,10.0,85.29,0.0,0.0,,0,0,27.4,12.2,225.4,1010.0,22.4,24.1,6.0,0.0,0,10,Partially cloudy,partly-cloudy-night,

72,EFHK,2022-06-13T00:00:00,11.8,11.8,9.8,87.55,0.0,0.0,,0,0,25.6,11.2,222.3,1010.0,32.9,24.1,0.0,,0,10,Partially cloudy,partly-cloudy-night,

73,EFHK,2022-06-13T01:00:00,11.5,11.5,9.7,88.7,0.0,0.0,,0,0,23.8,10.1,217.0,1010.0,99.7,24.1,0.0,,0,10,Overcast,cloudy,

74,EFHK,2022-06-13T02:00:00,11.4,11.4,10.0,91.1,0.0,0.0,,0,0,21.2,10.1,210.5,1009.0,39.6,24.1,0.0,,0,10,Partially cloudy,partly-cloudy-night,

75,EFHK,2022-06-13T03:00:00,11.4,11.4,10.3,92.95,0.0,0.0,rain,0,0,22.3,10.8,208.8,1009.0,85.2,24.1,0.0,,0,10,Partially cloudy,partly-cloudy-night,

76,EFHK,2022-06-13T04:00:00,11.6,11.6,10.4,92.55,0.0,4.8,,0,0,26.2,12.5,213.8,1008.7,87.2,24.1,0.0,,0,3,Partially cloudy,partly-cloudy-day,

