,name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations

0,EFHK,2022-06-12T00:00:00,15.0,15.0,10.0,72.03,0.0,0.0,,0,0,20.9,13.0,230.0,1015.0,0.0,10.0,0.0,,0,10,Clear,clear-night,EFHK

1,EFHK,2022-06-12T01:00:00,14.0,14.0,10.0,76.83,0.0,0.0,,0,0,18.4,7.6,230.0,1015.0,0.6,10.0,0.0,,0,10,Clear,clear-night,EFHK

2,EFHK,2022-06-12T02:00:00,14.0,14.0,11.0,82.13,0.0,0.0,,0,0,15.1,9.4,200.0,1015.0,7.0,10.0,0.0,,0,10,Clear,clear-night,EFHK

3,EFHK,2022-06-12T03:00:00,13.0,13.0,11.0,87.65,0.0,0.0,,0,0,14.4,11.2,200.0,1014.0,33.4,10.0,0.0,,0,10,Partially cloudy,partly-cloudy-night,EFHK

4,EFHK,2022-06-12T04:00:00,13.0,13.0,11.0,87.65,0.0,0.0,,0,0,18.4,11.2,200.0,1014.0,93.3,10.0,0.0,,0,10,Overcast,cloudy,EFHK

5,EFHK,2022-06-12T05:00:00,13.0,13.0,12.0,93.65,0.0,0.0,rain,0,0,18.7,7.6,200.0,1014.0,65.3,10.0,12.0,0.0,0,10,Partially cloudy,partly-cloudy-day,EFHK

6,EFHK,2022-06-12T06:00:00,14.0,14.0,12.0,87.74,0.0,0.0,rain,0,0,20.2,13.0,190.0,1013.0,89.5,10.0,13.0,0.0,0,3,Partially cloudy,partly-cloudy-day,EFHK

7,EFHK,2022-06-12T07:00:00,15.0,15.0,12.0,82.26,0.0,0.0,,0,0,32.0,13.0,200.0,1013.0,25.0,10.0,36.0,0.1,0,10,Partially cloudy,partly-cloudy-day,EFHK

8,EFHK,2022-06-12T08:00:00,15.0,15.0,13.0,87.83,0.0,0.0,,0,0,23.4,11.2,210.0,1013.0,25.0,10.0,310.0,1.1,3,10,Partially cloudy,partly-cloudy-day,EFHK

