,name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations

0,EFHK,2022-06-13T00:00:00,14.0,14.0,10.0,76.83,0.0,0.0,,0,0,23.8,14.8,221.3,1009.0,0.0,10.0,0.0,,0,10,Clear,clear-night,EFHK

1,EFHK,2022-06-13T01:00:00,13.0,13.0,11.0,87.65,0.0,0.0,,0,0,21.2,18.4,200.0,1009.0,0.7,10.0,0.0,,0,10,Clear,clear-night,EFHK

2,EFHK,2022-06-13T02:00:00,13.0,13.0,11.0,87.65,0.0,0.0,,0,0,20.5,18.4,200.0,1009.0,25.0,10.0,0.0,,0,10,Partially cloudy,partly-cloudy-night,EFHK

3,EFHK,2022-06-13T03:00:00,13.0,13.0,10.0,82.0,0.0,0.0,,0,0,20.2,9.7,210.0,1008.0,98.8,10.0,0.0,,0,3,Overcast,cloudy,EFHK

4,EFHK,2022-06-13T04:00:00,13.0,13.0,11.0,87.65,0.0,0.0,,0,0,20.5,14.8,190.0,1008.0,78.4,10.0,0.0,,0,3,Partially cloudy,partly-cloudy-day,EFHK

5,EFHK,2022-06-13T05:00:00,13.0,13.0,11.0,87.65,0.0,0.0,rain,0,0,21.2,11.2,200.0,1008.0,76.1,10.0,3.0,0.0,0,3,Partially cloudy,partly-cloudy-day,EFHK

6,EFHK,2022-06-13T06:00:00,13.0,13.0,11.0,87.65,0.0,0.0,,0,0,23.4,16.6,200.0,1007.0,50.0,10.0,36.0,0.1,0,10,Partially cloudy,partly-cloudy-day,EFHK

7,EFHK,2022-06-13T07:00:00,14.0,14.0,11.0,82.13,0.0,0.0,,0,0,34.6,14.8,210.0,1007.0,50.0,10.0,150.0,0.5,2,10,Partially cloudy,partly-cloudy-day,EFHK

8,EFHK,2022-06-13T08:00:00,16.0,16.0,12.0,77.15,0.0,0.0,,0,0,32.8,18.4,210.0,1007.0,25.0,10.0,269.0,1.0,3,10,Partially cloudy,partly-cloudy-day,EFHK

9,EFHK,2022-06-13T09:00:00,16.0,16.0,11.0,72.21,0.0,0.0,,0,0,34.9,18.4,210.0,1007.0,25.0,10.0,411.0,1.5,4,10,Partially cloudy,partly-cloudy-day,EFHK

